Phytochemical,Link
(+)-Leucocyanidin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Leucocyanidin
(+)-Limonene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Limonene
(+)-LINALOOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-LINALOOL
(+)-Longiborneol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Longiborneol
(+)-LONGIFOLENE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-LONGIFOLENE
(+)-Lupanine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Lupanine
(+)-LYONIRESINOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-LYONIRESINOL
(+)-Lyoniresinol-2?-O-?-D-glucopyranoside,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Lyoniresinol-2%3F-O-%3F-D-glucopyranoside
(+)-Lyoniresinol-2?-O-?-L-arabinopyranoside,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Lyoniresinol-2%3F-O-%3F-L-arabinopyranoside
"(+)-M-Mentha-1(6),8-Diene",https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-M-Mentha-1%286%29%2C8-Diene
(+)-Matrine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Matrine
(+)-MEDIORESINOL-DI-O-BETA-D-GLUCOPYRANOSIDE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-MEDIORESINOL-DI-O-BETA-D-GLUCOPYRANOSIDE
(+)-MEDIORESINOL-DI-O-BETA-D-GLUCOSIDE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-MEDIORESINOL-DI-O-BETA-D-GLUCOSIDE
"(+)-Mentha-1,8-Diene",https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Mentha-1%2C8-Diene
(+)-Methyl pachybioside,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Methyl+pachybioside+
(+)-mopanol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-mopanol
(+)-morelloflavone,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-morelloflavone
(+)-N-METHYLEPHEDRINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-N-METHYLEPHEDRINE
(+)-Neoolivil,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Neoolivil
(+)-nootkatone,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-nootkatone
(+)-NORPATCHOULENOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-NORPATCHOULENOL
(+)-O-METHYLARMEPAVINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-O-METHYLARMEPAVINE
(+)-Oxoturkiyenine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Oxoturkiyenine
(+)-OXYPEUCEDANIN,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-OXYPEUCEDANIN
(+)-p-Menth-1-ene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-p-Menth-1-ene
"(+)-p-Menthane-3,8-diol",https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-p-Menthane-3%2C8-diol
(+)-Phyllocladene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Phyllocladene
(+)-PINIFOLIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-PINIFOLIC-ACID
(+)-PINITOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-PINITOL
(+)-PINORESINOL-BETA-D-GLUCOSIDE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-PINORESINOL-BETA-D-GLUCOSIDE
(+)-PIPERITENONE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-PIPERITENONE
(+)-Piperitenone-Oxide,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Piperitenone-Oxide
(+)-PIPERITOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-PIPERITOL
(+)-Piperitone,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Piperitone
(+)-pisatin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-pisatin
(+)-Pronuciferine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Pronuciferine
(+)-PSEUDOCOCAINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-PSEUDOCOCAINE
(+)-PSEUDOEPHEDRINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-PSEUDOEPHEDRINE
(+)-PYROCATECHOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-PYROCATECHOL
(+)-RETICULINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-RETICULINE
(+)-S-(1-propenyl)-L-cysteine sulfoxide (PRENCSO),https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-S-%281-propenyl%29-L-cysteine+sulfoxide+%28PRENCSO%29
(+)-S-methyl-L-cysteine sulfoxide (MCSO),https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-S-methyl-L-cysteine+sulfoxide+%28MCSO%29
(+)-S-Methyl-L-Cysteine-Sulfoxide,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-S-Methyl-L-Cysteine-Sulfoxide
"(+)-S-Methyl-L-Cysteine-Sulfoxide (11e,13r)-Labda-11,14-Diene-8,13-Diol",https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-S-Methyl-L-Cysteine-Sulfoxide+%2811e%2C13r%29-Labda-11%2C14-Diene-8%2C13-Diol
(+)-Sabinene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Sabinene
(+)-selinene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-selinene
(+)-Sparteine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Sparteine
(+)-Spirojatamol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Spirojatamol
(+)-Stepharine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Stepharine
(+)-Syringaresinol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Syringaresinol
(+)-syringaresinol-di-o-beta-d-glucoside,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-syringaresinol-di-o-beta-d-glucoside
(+)-SYRINGARESINOL-O-BETA-D-GLUCOSIDE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-SYRINGARESINOL-O-BETA-D-GLUCOSIDE
(+)-Taraxerol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Taraxerol
(+)-TARTARIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-TARTARIC-ACID
(+)-taxifolin 3-O-alpha-L-arabinopyranoside,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-taxifolin+3-O-alpha-L-arabinopyranoside
(+)-TEPHROPURPURIN,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-TEPHROPURPURIN
(+)-TEPHRORIN B,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-TEPHRORIN+B
(+)-Terpinen-4-ol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Terpinen-4-ol+
(+)-Tirucallol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Tirucallol
(+)-Totarol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Totarol
(+)-TRANS-CARVEOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-TRANS-CARVEOL
"(+)-trans-Limonene 1,2-epoxide",https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-trans-Limonene+1%2C2-epoxide
(+)-trans-Piperitenol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-trans-Piperitenol
(+)-VELLOSIMINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-VELLOSIMINE
(+)-Verrucosin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Verrucosin
(+)-Vestitol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-Vestitol+
(+)-volkensiflavone,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%29-volkensiflavone
(+-)-5-DEOXYKIEVITONE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B-%29-5-DEOXYKIEVITONE
(+/-)-6-acetonyldihydrosanguinarine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%2F-%29-6-acetonyldihydrosanguinarine
(+/-)-Gomisin M1,https://neist.res.in/osadhi/phytodetail.php?phyto=%28%2B%2F-%29-Gomisin+M1
(-) -Medicarpin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29+-Medicarpin
(-) Epicatechin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29+Epicatechin
"(-)- 5,7-dihydroxy-2-eicosyl-chromone",https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-+5%2C7-dihydroxy-2-eicosyl-chromone
"(-)-(5R, 6R, 7S, 9R, 10S)-cadinan-3-ene-6, 7-diol",https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-%285R%2C+6R%2C+7S%2C+9R%2C+10S%29-cadinan-3-ene-6%2C+7-diol
"(-)-(7R,9R,11R-7-N-METHYL-11(PROP-2-ENYL)CYTISINE",https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-%287R%2C9R%2C11R-7-N-METHYL-11%28PROP-2-ENYL%29CYTISINE
(-)-10-Epi-alpha-cyperone,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-10-Epi-alpha-cyperone
"(-)-3ALPHA,6BETA-DITIGLOYLOXYTROPANE",https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-3ALPHA%2C6BETA-DITIGLOYLOXYTROPANE
(-)-6-acetylzeylenol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-6-acetylzeylenol
(-)-7-EPI-ALPHA-SELINENE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-7-EPI-ALPHA-SELINENE
(-)-8-Oxocanadine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-8-Oxocanadine+
"(-)-9,10-Dihydrojasmonic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-9%2C10-Dihydrojasmonic+acid
(-)-ACACATECHIN,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-ACACATECHIN
(-)-Adlumine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Adlumine+
(-)-afzelechin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-afzelechin
(-)-Alloaromadendrene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Alloaromadendrene
(-)-alpha-Cadinol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-alpha-Cadinol
(-)-alpha-Pinene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-alpha-Pinene+
(-)-alpha-Terpineol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-alpha-Terpineol
(-)-ARCTIGENIN,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-ARCTIGENIN
(-)-ARGEMONINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-ARGEMONINE
(-)-beta-Bourbonene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-beta-Bourbonene
(-)-BETA-CARYOPHYLLENE-EPOXIDE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-BETA-CARYOPHYLLENE-EPOXIDE
(-)-BETA-CHAMIGRENE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-BETA-CHAMIGRENE
(-)-BETA-CURCUMENE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-BETA-CURCUMENE
(-)-BETA-PANASINSENE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-BETA-PANASINSENE
(-)-BETA-PHELLANDRENE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-BETA-PHELLANDRENE
(-)-BETA-PINENE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-BETA-PINENE
(-)-BETONICINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-BETONICINE
(-)-Bicuculline,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Bicuculline+
(-)-Bilobalide,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Bilobalide
(-)-BORNYL ACETATE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-BORNYL+ACETATE
(-)-BORNYL-FERULATE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-BORNYL-FERULATE
(-)-Caaverine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Caaverine
(-)-camphene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-camphene
(-)-CAMPHOR,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-CAMPHOR
(-)-CANADINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-CANADINE
(-)-Carvomenthone,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Carvomenthone+
(-)-CARVONE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-CARVONE
(-)-Chicanine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Chicanine
(-)-CIS-CARVEOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-CIS-CARVEOL
(-)-Clandestacarpin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Clandestacarpin
(-)-Clusin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Clusin
(-)-Corlumine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Corlumine+
(-)-CRISTACARPIN,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-CRISTACARPIN
(-)-CYCLEAPELTINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-CYCLEAPELTINE
(-)-DEHYDROAROMADENDRENE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-DEHYDROAROMADENDRENE
(-)-Dehydrodicatechin A,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Dehydrodicatechin+A
(-)-Dihydro-Clusin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Dihydro-Clusin
(-)-DIHYDROCARVONE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-DIHYDROCARVONE
(-)-Dihydrojasmonic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Dihydrojasmonic+acid
(-)-Dregamine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Dregamine
(-)-ENT-KAUR-16-EN-19-OIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-ENT-KAUR-16-EN-19-OIC-ACID
(-)-ENT-KAURAN-16-BETA-OL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-ENT-KAURAN-16-BETA-OL
(-)-Ephedradine A,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Ephedradine+A
(-)-Epi-beta-bisabolol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Epi-beta-bisabolol
(-)-Epicatechin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Epicatechin
(-)-Epicatechin gallate,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Epicatechin+gallate
(-)-epicatechin-3-O--glucopyranoside,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-epicatechin-3-O--glucopyranoside
(-)-EPICATECHOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-EPICATECHOL
(-)-Epicedrol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Epicedrol+
(-)-EPIGALLOCATECHIN,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-EPIGALLOCATECHIN
(-)-Fenchone,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Fenchone+
(-)-Gallocatechin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Gallocatechin
(-)-Globulol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Globulol
(-)-Glycinol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Glycinol
(-)-grandisin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-grandisin
(-)-HARDWICKIC ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-HARDWICKIC+ACID
(-)-Hygroline,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Hygroline
(-)-Isodihydrocarveol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Isodihydrocarveol
(-)-isodihydrocarvone,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-isodihydrocarvone
(-)-Isoelaeocarpiline,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Isoelaeocarpiline+
(-)-Isolariciresinol-2?-O-?-D-xylopyranoside,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Isolariciresinol-2%3F-O-%3F-D-xylopyranoside
(-)-Isolongifolol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Isolongifolol
(-)-Isosativene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Isosativene
(-)-Isoshyobunone,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Isoshyobunone
(-)-JASMONIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-JASMONIC-ACID
(-)-KAUR-16-EN-19-CARBONIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-KAUR-16-EN-19-CARBONIC-ACID
(-)-KAUR-16-EN-19-OIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-KAUR-16-EN-19-OIC-ACID
"(-)-KAUR-9(11),16-DIEN-19-OIC-ACID",https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-KAUR-9%2811%29%2C16-DIEN-19-OIC-ACID
(-)-Kessane,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Kessane
(-)-LIMONENE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-LIMONENE
(-)-Linalool,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Linalool
(-)-Maackiain 3-O-glucoside,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Maackiain+3-O-glucoside
(-)-Maalioxide,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Maalioxide
(-)-MARMESIN,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-MARMESIN
(-)-MYRTENYL ISOVALERATE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-MYRTENYL+ISOVALERATE
"(-)-Neoclovene-(I), dihydro-",https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Neoclovene-%28I%29%2C+dihydro-
(-)-Norargemonine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Norargemonine+
(-)-Norephedrine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Norephedrine
(-)-OLIVIL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-OLIVIL
"(-)-OLIVIL-4',4'-DI-O-BETA-D-GLUCOPYRANOSIDE",https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-OLIVIL-4%27%2C4%27-DI-O-BETA-D-GLUCOPYRANOSIDE
(-)-PHYLLOCLADENE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-PHYLLOCLADENE
(-)-pinocembrin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-pinocembrin
(-)-Piperitenone-Oxide,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Piperitenone-Oxide
(-)-PIPERITONE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-PIPERITONE
(-)-Pronuciferine,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Pronuciferine
(-)-PSEUDOEPHEDRINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-PSEUDOEPHEDRINE
(-)-Quebrachitol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Quebrachitol
(-)-QUINIC-ACID,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-QUINIC-ACID
(-)-RHODODENDRIN,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-RHODODENDRIN
(-)-RHODODENDROL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-RHODODENDROL
(-)-ROEMEROLINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-ROEMEROLINE
(-)-RUBRANIN,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-RUBRANIN
(-)-Sabinene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Sabinene
(-)-Se-Coisolariciresinol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Se-Coisolariciresinol
(-)-secoisolariciresinol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-secoisolariciresinol
(-)-Strobopinin,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Strobopinin
(-)-sumatrol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-sumatrol
(-)-TRANS-CARVEOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-TRANS-CARVEOL
(-)-TRANS-KHELLACTONE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-TRANS-KHELLACTONE
(-)-trans-pinocarveol,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-trans-pinocarveol
(-)-TROPONE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-TROPONE
(-)-Valeranone,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Valeranone
(-)-VIBURNITOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-VIBURNITOL
(-)-VINCADIFFORMINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-VINCADIFFORMINE
(-)-XYLOPINE,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-XYLOPINE
(-)-Zingiberene,https://neist.res.in/osadhi/phytodetail.php?phyto=%28-%29-Zingiberene
"(.+-.)-5,2'-dihydroxy-6,7,6'-trimethoxyflavonone",https://neist.res.in/osadhi/phytodetail.php?phyto=%28.%2B-.%29-5%2C2%27-dihydroxy-6%2C7%2C6%27-trimethoxyflavonone
"(.+-.)-5,2'-Dihydroxy-7,8,6'-Trimethoxyflavanone",https://neist.res.in/osadhi/phytodetail.php?phyto=%28.%2B-.%29-5%2C2%27-Dihydroxy-7%2C8%2C6%27-Trimethoxyflavanone
"(1,3,3-TRIMETHYL-2-BICYCLO[2.2.1]HEPTANYL) ACETATE",https://neist.res.in/osadhi/phytodetail.php?phyto=%281%2C3%2C3-TRIMETHYL-2-BICYCLO%5B2.2.1%5DHEPTANYL%29+ACETATE
"(1,7,7-TRIMETHYL-2-BICYCLO[2.2.1]HEPTANYL) 2-METHYLBUTANOATE",https://neist.res.in/osadhi/phytodetail.php?phyto=%281%2C7%2C7-TRIMETHYL-2-BICYCLO%5B2.2.1%5DHEPTANYL%29+2-METHYLBUTANOATE
"(1,7,7-TRIMETHYL-2-BICYCLO[2.2.1]HEPTANYL) BENZOATE",https://neist.res.in/osadhi/phytodetail.php?phyto=%281%2C7%2C7-TRIMETHYL-2-BICYCLO%5B2.2.1%5DHEPTANYL%29+BENZOATE
(1-HEXADECANOYLOXY-3-HYDROXYPROPAN-2-YL) (E)-OCTADEC-9-ENOATE,https://neist.res.in/osadhi/phytodetail.php?phyto=%281-HEXADECANOYLOXY-3-HYDROXYPROPAN-2-YL%29+%28E%29-OCTADEC-9-ENOATE
"(1-Hydroxy-2,4,4-trimethylpentan-3-yl) 2-methylpropanoate",https://neist.res.in/osadhi/phytodetail.php?phyto=%281-Hydroxy-2%2C4%2C4-trimethylpentan-3-yl%29+2-methylpropanoate
(1-Methoxyethyl)benzene,https://neist.res.in/osadhi/phytodetail.php?phyto=%281-Methoxyethyl%29benzene+
(1-METHYL-4-PROP-1-EN-2-YLSPIRO[4.5]DEC-8-EN-8-YL)METHANOL,https://neist.res.in/osadhi/phytodetail.php?phyto=%281-METHYL-4-PROP-1-EN-2-YLSPIRO%5B4.5%5DDEC-8-EN-8-YL%29METHANOL
"(10,12,13,14,23-PENTAHYDROXY-6,10,19-TRIMETHYL-24-OXA-4-AZAHEPTACYCLO[12.12.0.02,11.04,9.015,25.018,23.019,25]HEXACOSAN-22-YL) 3,4-DIMETHOXYBENZOATE",https://neist.res.in/osadhi/phytodetail.php?phyto=%2810%2C12%2C13%2C14%2C23-PENTAHYDROXY-6%2C10%2C19-TRIMETHYL-24-OXA-4-AZAHEPTACYCLO%5B12.12.0.02%2C11.04%2C9.015%2C25.018%2C23.019%2C25%5DHEXACOSAN-22-YL%29+3%2C4-DIMETHOXYBENZOATE
"(10as)-7,10a-dihydroxy-3,11-dimethyl-1,2-dihydrocyclopenta[b]anthracene-5,10-dione",https://neist.res.in/osadhi/phytodetail.php?phyto=%2810as%29-7%2C10a-dihydroxy-3%2C11-dimethyl-1%2C2-dihydrocyclopenta%5Bb%5Danthracene-5%2C10-dione
(10E)-beta-Santalic acid,https://neist.res.in/osadhi/phytodetail.php?phyto=%2810E%29-beta-Santalic+acid
"(10E,12E)-9-HYDROPEROXYOCTADECA-10,12-DIENOIC ACID",https://neist.res.in/osadhi/phytodetail.php?phyto=%2810E%2C12E%29-9-HYDROPEROXYOCTADECA-10%2C12-DIENOIC+ACID
"(10E,12E)-9-HYDROXYOCTADECA-10,12-DIENOIC ACID",https://neist.res.in/osadhi/phytodetail.php?phyto=%2810E%2C12E%29-9-HYDROXYOCTADECA-10%2C12-DIENOIC+ACID
"(10E,12Z)-9-HYDROXY-10,12-OCTADECADIENOIC-ACID",https://neist.res.in/osadhi/phytodetail.php?phyto=%2810E%2C12Z%29-9-HYDROXY-10%2C12-OCTADECADIENOIC-ACID
"(10E,12Z)-9-OXO-10,12-OCTADECADIENOIC-ACID",https://neist.res.in/osadhi/phytodetail.php?phyto=%2810E%2C12Z%29-9-OXO-10%2C12-OCTADECADIENOIC-ACID
"(10E,12Z,15Z)-9-OXO-10,12,15-OCTADECATRIENOIC-ACID",https://neist.res.in/osadhi/phytodetail.php?phyto=%2810E%2C12Z%2C15Z%29-9-OXO-10%2C12%2C15-OCTADECATRIENOIC-ACID
"(10R,11R)-Pterosin L",https://neist.res.in/osadhi/phytodetail.php?phyto=%2810R%2C11R%29-Pterosin+L
