Phytochemical,Link
"(1S,8'R)-6-methoxy-2-methylspiro[3,4-dihydroisoquinoline-1,7'-6,8-dihydrocyclopenta[g][1,3]benzodioxole]-7,8'-diol",https://neist.res.in/osadhi/phytodetail.php?phyto=+%281S%2C8%27R%29-6-methoxy-2-methylspiro%5B3%2C4-dihydroisoquinoline-1%2C7%27-6%2C8-dihydrocyclopenta%5Bg%5D%5B1%2C3%5Dbenzodioxole%5D-7%2C8%27-diol
"(2R,3R)-2-(4-hydroxy-3-methoxyphenyl)-3-(hydroxymethyl)-5-methoxy-2,3-dihydropyrano[3,2-h][1,4]benzodioxin-9-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+%282R%2C3R%29-2-%284-hydroxy-3-methoxyphenyl%29-3-%28hydroxymethyl%29-5-methoxy-2%2C3-dihydropyrano%5B3%2C2-h%5D%5B1%2C4%5Dbenzodioxin-9-one
"(2S)-2-amino-3-[4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]propanoic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=+%282S%29-2-amino-3-%5B4-%5B%282S%2C3R%2C4S%2C5S%2C6R%29-3%2C4%2C5-trihydroxy-6-%28hydroxymethyl%29oxan-2-yl%5Doxyphenyl%5Dpropanoic+acid
"(2S,3R,4R)-2,3,4,5-tetrahydroxypentanal",https://neist.res.in/osadhi/phytodetail.php?phyto=+%282S%2C3R%2C4R%29-2%2C3%2C4%2C5-tetrahydroxypentanal
"(2S,3R,4R,5R,6S)-2-[[3,5-dihydroxy-2-(4-hydroxyphenyl)-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydrochromen-7-yl]oxy]-6-methyloxane-3,4,5-triol",https://neist.res.in/osadhi/phytodetail.php?phyto=+%282S%2C3R%2C4R%2C5R%2C6S%29-2-%5B%5B3%2C5-dihydroxy-2-%284-hydroxyphenyl%29-3-%5B%282S%2C3R%2C4S%2C5S%2C6R%29-3%2C4%2C5-trihydroxy-6-%28hydroxymethyl%29oxan-2-yl%5Doxy-2%2C4-dihydrochromen-7-yl%5Doxy%5D-6-methyloxane-3%2C4%2C5-triol
"(2S,3R,4S,5S,6R)-2-[4-[(3R,3aR,6S,6aR)-3-(3,4-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-6-yl]-2-methoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",https://neist.res.in/osadhi/phytodetail.php?phyto=+%282S%2C3R%2C4S%2C5S%2C6R%29-2-%5B4-%5B%283R%2C3aR%2C6S%2C6aR%29-3-%283%2C4-dimethoxyphenyl%29-1%2C3%2C3a%2C4%2C6%2C6a-hexahydrofuro%5B3%2C4-c%5Dfuran-6-yl%5D-2-methoxyphenoxy%5D-6-%28hydroxymethyl%29oxane-3%2C4%2C5-triol
"(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid",https://neist.res.in/osadhi/phytodetail.php?phyto=+%282Z%2C4E%29-5-%5B%281S%29-1-hydroxy-2%2C6%2C6-trimethyl-4-oxocyclohex-2-en-1-yl%5D-3-methylpenta-2%2C4-dienoic+acid
"(3E)-2-methyl-6-methylideneocta-3,7-dien-2-ol",https://neist.res.in/osadhi/phytodetail.php?phyto=+%283E%29-2-methyl-6-methylideneocta-3%2C7-dien-2-ol
"(3E)-3-[2-[(1S,4aS,8aS)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethylidene]-4-hydroxyoxolan-2-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+%283E%29-3-%5B2-%5B%281S%2C4aS%2C8aS%29-5%2C5%2C8a-trimethyl-2-methylidene-3%2C4%2C4a%2C6%2C7%2C8-hexahydro-1H-naphthalen-1-yl%5Dethylidene%5D-4-hydroxyoxolan-2-one
"(3E,5Z)-octa-3,5-dien-2-one",https://neist.res.in/osadhi/phytodetail.php?phyto=+%283E%2C5Z%29-octa-3%2C5-dien-2-one
