S. No.,Name of State Road Transport Undertaking (SRTU),Total Revenue (Rs. Lakh) - 2018-19,Total Revenue (Rs. Lakh) - 2017-18,Total Revenue (Rs. Lakh) - 2016-17,Total Cost (Rs. Lakh) - 2018-19,Total Cost (Rs. Lakh) - 2017-18,Total Cost (Rs. Lakh) - 2016-17,Net Profit/Loss (Rs. Lakh) - 2018-19,Net Profit/Loss (Rs. Lakh) - 2017-18,Net Profit/Loss (Rs. Lakh) - 2016-17,Profit before Tax (Rs. Lakh) - 2018-19,Profit before Tax (Rs. Lakh) - 2017-18,Profit before Tax (Rs. Lakh) - 2016-17
44,Ahmedabad MTC ,12688.96,11280.79,11399.79,42949.75,42006.90,42151.46,-30260.79,-30726.11,-30751.67,-30066.93,-30577.75,-29223.73
45,BEST Undertaking,103477.84,111106.47,129553.65,204762.90,206874.84,219141.07,-101285.06,-95768.37,-89587.42,-97206.79,-95567.51,-89364.06
46,Kolahpur MTU,4685.11,4604.30,4602.71,5008.66,5473.87,5021.13,-323.55,-869.57,-418.42,-229.85,-783.79,-336.89
47,Navi Mumbai MT,14410.59,13603.24,12168.81,19650.77,17745.08,16201.80,-5240.18,-4141.84,-4032.99,-4792.57,-3764.24,-3563.79
48,Pune Mahamandal ,61897.25,65861.17,72093.06,86601.92,86323.32,93137.51,-24704.67,-20462.15,-21044.45,-23682.11,-19386.99,-20701.90
49,Sholapur MT,977.62,983.73,1891.16,3097.95,1706.09,3884.33,-2120.33,-722.36,-1993.17,-2103.47,-718.40,-1958.97
50,Thane MT,9850.00,10354.08,8102.53,21582.50,36283.53,14272.71,-11732.50,-25929.45,-6170.18,-11541.74,-25851.02,-5438.61
51,Kalyan Dombivali MT,1680.77,2024.21,2318.37,4668.21,4842.53,5074.15,-2987.44,-2818.32,-2755.78,-2869.18,-2672.52,-2622.15
NA,Total Municipal undertakings,215567.75,225352.76,247876.81,400639.84,414168.91,412998.71,-185072.09,-188816.15,-165121.90,-178909.41,-186691.33,-161577.19
52,DELHI INTEGRATED MTS,37861.00,36101.00,30890.00,73063.00,66731.00,53011.00,-35202.00,-30630.00,-22121.00,-35202.00,-30630.00,-22121.00
NA,Total Associate members,37861.00,36101.00,30890.00,73063.00,66731.00,53011.00,-35202.00,-30630.00,-22121.00,-35202.00,-30630.00,-22121.00
53,Agra-Mathura City TSL,2809.15,2267.39,2332.56,2809.89,2501.62,2341.17,-0.74,-234.23,-8.61,32.61,-159.53,24.74
54,Jaipur City TS Ltd.,10303.72,8053.44,7231.45,12476.66,11051.86,11298.52,-2172.94,-2998.42,-4067.07,-1514.75,-2750.57,-3992.44
55,MEERUT CITY TSL,5411.79,4388.42,4625.82,2391.47,3021.22,2500.39,3020.31,1367.20,2125.44,3042.26,1399.12,2185.74
56,KANPUR CITY TSL,1627.57,1545.66,1311.44,3055.15,2682.62,2442.17,-1427.58,-1136.96,-1130.73,-1338.24,-1102.78,-1104.20
NA,Total Special Purpose Vehicle,20152.23,16254.91,15501.27,20733.17,19257.32,18582.25,-580.95,-3002.41,-3080.98,298.27,-2613.76,-2886.16
NA,Total (Reporting SRTUs),6455436.47,5936521.43,5590249.87,8247828.90,7967481.16,7307109.97,-1792392.43,-2030959.73,-1716860.10,-1366921.00,-1616217.08,-1323891.65
