Phytochemicals,Link
Aconitum heterophylloides,https://cb.imsc.res.in/imppat/therapeutics/Aconitum%20heterophylloides
Aconitum heterophyllum,https://cb.imsc.res.in/imppat/therapeutics/Aconitum%20heterophyllum
Aconitum lethale,https://cb.imsc.res.in/imppat/therapeutics/Aconitum%20lethale
Aconitum napellus,https://cb.imsc.res.in/imppat/therapeutics/Aconitum%20napellus
Aconitum palmatum,https://cb.imsc.res.in/imppat/therapeutics/Aconitum%20palmatum
Aconitum rotundifolium,https://cb.imsc.res.in/imppat/therapeutics/Aconitum%20rotundifolium
Aconitum soongaricum,https://cb.imsc.res.in/imppat/therapeutics/Aconitum%20soongaricum
Aconitum violaceum,https://cb.imsc.res.in/imppat/therapeutics/Aconitum%20violaceum
Acorus calamus,https://cb.imsc.res.in/imppat/therapeutics/Acorus%20calamus
Acorus gramineus,https://cb.imsc.res.in/imppat/therapeutics/Acorus%20gramineus
Acrocarpus fraxinifolius,https://cb.imsc.res.in/imppat/therapeutics/Acrocarpus%20fraxinifolius
Acronychia pedunculata,https://cb.imsc.res.in/imppat/therapeutics/Acronychia%20pedunculata
Acrostichum aureum,https://cb.imsc.res.in/imppat/therapeutics/Acrostichum%20aureum
Acrotrema arnottianum,https://cb.imsc.res.in/imppat/therapeutics/Acrotrema%20arnottianum
Actaea cimicifuga,https://cb.imsc.res.in/imppat/therapeutics/Actaea%20cimicifuga
Actaea racemosa,https://cb.imsc.res.in/imppat/therapeutics/Actaea%20racemosa
Actaea spicata,https://cb.imsc.res.in/imppat/therapeutics/Actaea%20spicata
Actinidia arguta,https://cb.imsc.res.in/imppat/therapeutics/Actinidia%20arguta
Actinidia chinensis,https://cb.imsc.res.in/imppat/therapeutics/Actinidia%20chinensis
Actinidia eriantha,https://cb.imsc.res.in/imppat/therapeutics/Actinidia%20eriantha
Actiniopteris australis,https://cb.imsc.res.in/imppat/therapeutics/Actiniopteris%20australis
Actiniopteris dichotoma,https://cb.imsc.res.in/imppat/therapeutics/Actiniopteris%20dichotoma
Actiniopteris radiata,https://cb.imsc.res.in/imppat/therapeutics/Actiniopteris%20radiata
Actinodaphne gullavara,https://cb.imsc.res.in/imppat/therapeutics/Actinodaphne%20gullavara
Actinodaphne hookeri,https://cb.imsc.res.in/imppat/therapeutics/Actinodaphne%20hookeri
Actinodaphne obovata,https://cb.imsc.res.in/imppat/therapeutics/Actinodaphne%20obovata
Actinoscirpus grossus,https://cb.imsc.res.in/imppat/therapeutics/Actinoscirpus%20grossus
Adansonia digitata,https://cb.imsc.res.in/imppat/therapeutics/Adansonia%20digitata
Adenanthera pavonina,https://cb.imsc.res.in/imppat/therapeutics/Adenanthera%20pavonina
Adenium obesum,https://cb.imsc.res.in/imppat/therapeutics/Adenium%20obesum
Adenosma indianum,https://cb.imsc.res.in/imppat/therapeutics/Adenosma%20indianum
Adenostemma lavenia,https://cb.imsc.res.in/imppat/therapeutics/Adenostemma%20lavenia
Adiantum capillus-veneris,https://cb.imsc.res.in/imppat/therapeutics/Adiantum%20capillus-veneris
Adiantum caudatum,https://cb.imsc.res.in/imppat/therapeutics/Adiantum%20caudatum
Adiantum chilense,https://cb.imsc.res.in/imppat/therapeutics/Adiantum%20chilense
Adiantum incisum,https://cb.imsc.res.in/imppat/therapeutics/Adiantum%20incisum
