Phytochemicals,Link
Ageratum houstonianum,https://cb.imsc.res.in/imppat/phytochemical/Ageratum%20houstonianum
Aglaia elaeagnoidea,https://cb.imsc.res.in/imppat/phytochemical/Aglaia%20elaeagnoidea
Aglaia hiernii,https://cb.imsc.res.in/imppat/phytochemical/Aglaia%20hiernii
Aglaia lawii,https://cb.imsc.res.in/imppat/phytochemical/Aglaia%20lawii
Aglaia odorata,https://cb.imsc.res.in/imppat/phytochemical/Aglaia%20odorata
Aglaia odoratissima,https://cb.imsc.res.in/imppat/phytochemical/Aglaia%20odoratissima
Aglaia spectabilis,https://cb.imsc.res.in/imppat/phytochemical/Aglaia%20spectabilis
Aglaonema commutatum,https://cb.imsc.res.in/imppat/phytochemical/Aglaonema%20commutatum
Agrimonia eupatoria,https://cb.imsc.res.in/imppat/phytochemical/Agrimonia%20eupatoria
Agrimonia pilosa,https://cb.imsc.res.in/imppat/phytochemical/Agrimonia%20pilosa
Agrostemma githago,https://cb.imsc.res.in/imppat/phytochemical/Agrostemma%20githago
Ailanthus altissima,https://cb.imsc.res.in/imppat/phytochemical/Ailanthus%20altissima
Ailanthus excelsa,https://cb.imsc.res.in/imppat/phytochemical/Ailanthus%20excelsa
Ailanthus integrifolia,https://cb.imsc.res.in/imppat/phytochemical/Ailanthus%20integrifolia
Ailanthus triphysa,https://cb.imsc.res.in/imppat/phytochemical/Ailanthus%20triphysa
Ajania fruticulosa,https://cb.imsc.res.in/imppat/phytochemical/Ajania%20fruticulosa
Ajuga integrifolia,https://cb.imsc.res.in/imppat/phytochemical/Ajuga%20integrifolia
Ajuga lupulina,https://cb.imsc.res.in/imppat/phytochemical/Ajuga%20lupulina
Ajuga macrosperma,https://cb.imsc.res.in/imppat/phytochemical/Ajuga%20macrosperma
Ajuga parviflora,https://cb.imsc.res.in/imppat/phytochemical/Ajuga%20parviflora
Alangium chinense,https://cb.imsc.res.in/imppat/phytochemical/Alangium%20chinense
Alangium salviifolium,https://cb.imsc.res.in/imppat/phytochemical/Alangium%20salviifolium
Albizia amara,https://cb.imsc.res.in/imppat/phytochemical/Albizia%20amara
Albizia chinensis,https://cb.imsc.res.in/imppat/phytochemical/Albizia%20chinensis
Albizia julibrissin,https://cb.imsc.res.in/imppat/phytochemical/Albizia%20julibrissin
Albizia lebbeck,https://cb.imsc.res.in/imppat/phytochemical/Albizia%20lebbeck
Albizia lucidior,https://cb.imsc.res.in/imppat/phytochemical/Albizia%20lucidior
Albizia odoratissima,https://cb.imsc.res.in/imppat/phytochemical/Albizia%20odoratissima
Albizia procera,https://cb.imsc.res.in/imppat/phytochemical/Albizia%20procera
Albizia saman,https://cb.imsc.res.in/imppat/phytochemical/Albizia%20saman
Alcea rosea,https://cb.imsc.res.in/imppat/phytochemical/Alcea%20rosea
Alectra parasitica,https://cb.imsc.res.in/imppat/phytochemical/Alectra%20parasitica
Aleurites moluccanus,https://cb.imsc.res.in/imppat/phytochemical/Aleurites%20moluccanus
Alhagi maurorum,https://cb.imsc.res.in/imppat/phytochemical/Alhagi%20maurorum
Alisma plantago,https://cb.imsc.res.in/imppat/phytochemical/Alisma%20plantago
Alisma plantago-aquatica,https://cb.imsc.res.in/imppat/phytochemical/Alisma%20plantago-aquatica
Alkanna tinctoria,https://cb.imsc.res.in/imppat/phytochemical/Alkanna%20tinctoria
Allamanda blanchetii,https://cb.imsc.res.in/imppat/phytochemical/Allamanda%20blanchetii
Allamanda cathartica,https://cb.imsc.res.in/imppat/phytochemical/Allamanda%20cathartica
