,Phytochemical,Kingdom,Family,Group,Common name,Synonymous names,System of medicine,IUCN Red List category
0,Abelmoschus esculentus,Plantae,Malvaceae,Angiosperms,Ladies Finger,"Hibiscus esculentus, Abelmoschus esculentus","Ayurveda, Siddha, Unani",
1,Abelmoschus ficulneus,Plantae,Malvaceae,Angiosperms,White Wild Musk Mallow,"Hibiscus ficulneus, Abelmoschus ficulneus","Ayurveda, Siddha",Least Concern
2,Abelmoschus manihot,Plantae,Malvaceae,Angiosperms,Sweet Hibiscus,"Hibiscus manihot, Abelmoschus manihot",,
3,Abelmoschus moschatus,Plantae,Malvaceae,Angiosperms,Pink Swamp Mallow,"Hibiscus abelmoschus, Abelmoschus moschatus, Abelmoschus moschatu","Ayurveda, Siddha, Unani",
4,Abies alba,Plantae,Pinaceae,Gymnosperms,,Abies alba,,Least Concern
5,Abies balsamea,Plantae,Pinaceae,Gymnosperms,,Abies balsamea,,Least Concern
6,Abies grandis,Plantae,Pinaceae,Gymnosperms,,Abies grandis,,Least Concern
7,Abies nephrolepis,Plantae,Pinaceae,Gymnosperms,,Abies nephrolepis,,Least Concern
8,Abies pindrow,Plantae,Pinaceae,Gymnosperms,West-Himalayan Silver Fir,Abies pindrow,"Ayurveda, Unani",Least Concern
9,Abies pinsapo,Plantae,Pinaceae,Gymnosperms,,Abies pinsapo,,Endangered
10,Abies spectabilis,Plantae,Pinaceae,Gymnosperms,Himalayan Silver Fir,"Abies webbiana, Abies spectabilis","Ayurveda, Siddha, Sowa Rigpa, Unani",Near Threatened
11,Abroma augusta,Plantae,Malvaceae,Angiosperms,Devil's Cotton,Abroma augusta,"Ayurveda, Siddha, Unani",
12,Abrus precatorius,Plantae,Leguminosae,Angiosperms,Rosary Pea,"Abrus precatorius, Abrus precatorious, Abies precatorius","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",
13,Abutilon grandifolium,Plantae,Malvaceae,Angiosperms,,Abutilon grandifolium,Siddha,
14,Abutilon hirtum,Plantae,Malvaceae,Angiosperms,Hairy Indian Mallow,"Abutilon graveolens, Abutilon hirtum",Ayurveda,
15,Abutilon indicum,Plantae,Malvaceae,Angiosperms,Indian Mallow,"Abutilon indicum, Abutilon asiaticum, Abutilion indicum","Ayurveda, Siddha, Unani",
16,Abutilon pannosum,Plantae,Malvaceae,Angiosperms,Ragged Mallow,"Abutilon glaucum, Abutilon muticum, Abutilon pannosum",,
17,Abutilon ramosum,Plantae,Malvaceae,Angiosperms,Sticky Indian Mallow,Abutilon ramosum,,
18,Abutilon theophrasti,Plantae,Malvaceae,Angiosperms,Buttonweed,"Abutilon theophrastii, Abutilon theophrasti","Ayurveda, Siddha",
19,Acacia aroma,Plantae,Leguminosae,Angiosperms,,Acacia aroma,,
20,Acacia auriculiformis,Plantae,Leguminosae,Angiosperms,Earleaf Acacia,"Acacia auriculiformis, Acacia auriculaeformis",,Least Concern
21,Acacia caesia,Plantae,Leguminosae,Angiosperms,,"Acacia intsia, Acacia cuesia, Acacia caesia",Ayurveda,
22,Acacia catechu,Plantae,Leguminosae,Angiosperms,,"Acacia catechu, Acacia catehcu","Ayurveda, Siddha, Unani",
23,Acacia caven,Plantae,Leguminosae,Angiosperms,,"Acacia cavenia, Acacia caven",,
24,Acacia chundra,Plantae,Leguminosae,Angiosperms,,"Acacia sundra, Acacia chundra","Ayurveda, Siddha",
25,Acacia concinna,Plantae,Leguminosae,Angiosperms,,"Acacia rugata, Acacia concinna","Ayurveda, Siddha, Sowa Rigpa, Unani",
26,Acacia dealbata,Plantae,Leguminosae,Angiosperms,,Acacia dealbata,,
27,Acacia decurrens,Plantae,Leguminosae,Angiosperms,,Acacia decurrens,Siddha,
28,Acacia farnesiana,Plantae,Leguminosae,Angiosperms,,"Acacia farnesiana, Acacia furnesiana","Ayurveda, Siddha, Unani",
29,Acacia ferruginea,Plantae,Leguminosae,Angiosperms,,Acacia ferruginea,"Ayurveda, Siddha",
30,Acacia jacquemontii,Plantae,Leguminosae,Angiosperms,,Acacia jacquemontii,Siddha,
31,Acacia lenticularis,Plantae,Leguminosae,Angiosperms,,"Acacia lenticularis, Acacia lentricularis",,
32,Acacia leucophloea,Plantae,Leguminosae,Angiosperms,,"Acacia leucophloea, Acacia alba, Acacia leucophioca, Acacia leucophioea, Acacia leucophloeu","Ayurveda, Siddha, Unani",
33,Acacia mearnsii,Plantae,Leguminosae,Angiosperms,Black Wattle,Acacia mearnsii,,
34,Acacia melanoxylon,Plantae,Leguminosae,Angiosperms,Australian Blackwood,Acacia melanoxylon,,
35,Acacia modesta,Plantae,Leguminosae,Angiosperms,,Acacia modesta,,
36,Acacia nilotica,Plantae,Leguminosae,Angiosperms,,"Acacia arabica, Acacia nilotica, Acacia benthami, Acaia nilotica, Acacia nilotiva, Acacia arabica/nillotica","Ayurveda, Siddha, Unani",
37,Acacia pennata,Plantae,Leguminosae,Angiosperms,,Acacia pennata,"Ayurveda, Siddha",
38,Acacia planifrons,Plantae,Leguminosae,Angiosperms,,"Acacia planifrons, Acacia planiforms",,
39,Acacia polyacantha,Plantae,Leguminosae,Angiosperms,,"Acacia suma, Acacia polycantha, Acacia polyacantha","Ayurveda, Siddha, Sowa Rigpa, Unani",
40,Acacia pubescens,Plantae,Leguminosae,Angiosperms,,"Acacia mollissima, Acacia pubescens",,
41,Acacia schweinfurthii,Plantae,Leguminosae,Angiosperms,,Acacia schweinfurthii,,
42,Acacia senegal,Plantae,Leguminosae,Angiosperms,,Acacia senegal,Ayurveda,
43,Acacia sinuata,Plantae,Leguminosae,Angiosperms,,"Acacia sinuata, Acacial sinuata","Ayurveda, Siddha, Sowa Rigpa, Unani",
44,Acacia torta,Plantae,Leguminosae,Angiosperms,,Acacia torta,"Ayurveda, Siddha",
45,Acacia tortilis,Plantae,Leguminosae,Angiosperms,,"Acacia raddiana, Acacia tortilis, Acacia spirocarpa, Acacia tortulis",,
46,Acalypha australis,Plantae,Euphorbiaceae,Angiosperms,Asian Copperleaf,Acalypha australis,,
47,Acalypha fruticosa,Plantae,Euphorbiaceae,Angiosperms,Birch-Leaved Cat Tail,"Acalypha fruticosa, Acalypha fruitcosa","Ayurveda, Siddha",Least Concern
48,Acalypha hispida,Plantae,Euphorbiaceae,Angiosperms,Cat's Tail,"Acalypha sanderi, Acalypha hispida",Siddha,
49,Acalypha indica,Plantae,Euphorbiaceae,Angiosperms,Indian Copperleaf,"Acalypha indica, Acalyphia indica","Ayurveda, Homeopathy, Siddha",
50,Acalypha wilkesiana,Plantae,Euphorbiaceae,Angiosperms,Copperleaf green,Acalypha wilkesiana,,
51,Acampe praemorsa,Plantae,Orchidaceae,Angiosperms,Wight's Acampe,"Saccolabium papillosum, Acampe praemorsa, Acampe papillosa, Acampe pramorsa, Acampe pragmorsa",Ayurveda,
52,Acanthospermum hispidum,Plantae,Compositae,Angiosperms,Bristly Starbur,Acanthospermum hispidum,Ayurveda,
53,Acanthus ilicifolius,Plantae,Acanthaceae,Angiosperms,Sea Holly,"Acanthus ilicifolius, Acanthus ilictifolius, Acanthus licifolius","Ayurveda, Siddha",Least Concern
54,Acca sellowiana,Plantae,Myrtaceae,Angiosperms,Pineapple Guava,"Feijoa sellowiana, Acca sellowiana",,Least Concern
55,Acer caesium,Plantae,Sapindaceae,Angiosperms,Bluish Grey Maple,Acer caesium,,Least Concern
56,Acer negundo,Plantae,Sapindaceae,Angiosperms,Three-Leaved Maple,Acer negundo,,Least Concern
57,Acer oblongum,Plantae,Sapindaceae,Angiosperms,Himalayan Maple,Acer oblongum,,Least Concern
58,Acer pictum,Plantae,Sapindaceae,Angiosperms,,"Acer mono, Acer pictum",,Least Concern
59,Achillea millefolium,Plantae,Compositae,Angiosperms,Common Yarrow,"Achillea lanulosa, Achillea millefolium, Achillea milefolium","Homeopathy, Siddha, Unani",Least Concern
60,Achillea santolina,Plantae,Compositae,Angiosperms,,Achillea santolina,,
61,Achyranthes aspera,Plantae,Amaranthaceae,Angiosperms,Prickly Chaff Flower,"Achyranthes aspera, Achyrathes aspara, Achyranthes asperd, Achyranthus aspera","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",
62,Achyranthes bidentata,Plantae,Amaranthaceae,Angiosperms,Ox Knee,"Achyranthes bidentata, Achyranthes hidentata, Achyanthus bidentata, Achyranthus bidentata","Ayurveda, Siddha",
63,Acinos alpinus,Plantae,Lamiaceae,Angiosperms,,Acinos alpinus,,
64,Acmella oleracea,Plantae,Compositae,Angiosperms,Toothache Plant,"Spilanthes oleracea, Acmella oleracea, Spilanthus oleracea",Ayurveda,
65,Acmella paniculata,Plantae,Compositae,Angiosperms,Panicled Spot Flower,"Spilanthes calva, Spilanthes paniculata, Acmella paniculata",Ayurveda,Least Concern
66,Acmella radicans,Plantae,Compositae,Angiosperms,White Spot-Flower,"Spilanthes radicans, Acmella radicans, Spilanthes radcacns",,
67,Acokanthera oblongifolia,Plantae,Apocynaceae,Angiosperms,,"Acokanthera spectabilis, Acokanthera oblongifolia",,Least Concern
68,Acomastylis elata,Plantae,Rosaceae,Angiosperms,Red High Avens,"Geum elatum, Acomastylis elata, Geum alatum",,
69,Aconitum chasmanthum,Plantae,Ranunculaceae,Angiosperms,Gaping Monkshood,Aconitum chasmanthum,"Ayurveda, Homeopathy, Unani",Critically Endangered
70,Aconitum ferox,Plantae,Ranunculaceae,Angiosperms,,"Aconiturn ferox, Aconitum ferox","Ayurveda, Homeopathy, Siddha, Unani",
71,Aconitum gymnandrum,Plantae,Ranunculaceae,Angiosperms,,Aconitum gymnandrum,,
72,Aconitum heterophylloides,Plantae,Ranunculaceae,Angiosperms,Nepal Monkshood,"Aconitum deinorrhizum, Aconitum atrox, Aconitum heterophylloides, Aconitum laciniatum, Aconitum dienorrhizum","Ayurveda, Unani",
73,Aconitum heterophyllum,Plantae,Ranunculaceae,Angiosperms,Greenish Himalayan Monkshood,"Aconitum heterophyllum, Aconitum heterophyllun, Aconitum kashmiricum, Aconitum heterophylium, Aconitum heterophytlum","Ayurveda, Siddha, Sowa Rigpa, Unani",Endangered
74,Aconitum lethale,Plantae,Ranunculaceae,Angiosperms,Balfour's Monkshood,"Aconitum falconeri, Aconitum spicatum, Aconitum balfourii, Aconitum lethale, Aconituim spicatum",Ayurveda,
75,Aconitum napellus,Plantae,Ranunculaceae,Angiosperms,,Aconitum napellus,"Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Least Concern
76,Aconitum palmatum,Plantae,Ranunculaceae,Angiosperms,,"Aconitum bisma, Aconitum palmatum",Ayurveda,
77,Aconitum rotundifolium,Plantae,Ranunculaceae,Angiosperms,Roundleaf Monkshood,Aconitum rotundifolium,,
78,Aconitum soongaricum,Plantae,Ranunculaceae,Angiosperms,,Aconitum soongaricum,,
79,Aconitum violaceum,Plantae,Ranunculaceae,Angiosperms,Violet Monkshood,"Aconitum violaceum, Aconitum violaceaum",Ayurveda,Vulnerable
80,Acorus calamus,Plantae,Acoraceae,Angiosperms,Sweet Flag,"Acorus tatarinowii, Acorus calamus, Acorns calamus, Crocus calamus, Acarus calamus, Acorus calamys, Acrorus calamus","Ayurveda, Siddha, Sowa Rigpa, Unani",Least Concern
81,Acorus gramineus,Plantae,Acoraceae,Angiosperms,,Acorus gramineus,Ayurveda,Least Concern
82,Acrocarpus fraxinifolius,Plantae,Leguminosae,Angiosperms,Pink Cedar,Acrocarpus fraxinifolius,,
83,Acronychia pedunculata,Plantae,Rutaceae,Angiosperms,Indian Aspen,"Acronychia laurifolia, Acronychia pedunculata, Acronychia barberi, Acornychia pedunculata, Acronychia pendunculata",,Least Concern
84,Acrostichum aureum,Plantae,Pteridaceae,Pteridophytes,,Acrostichum aureum,,Least Concern
85,Acrotrema arnottianum,Plantae,Dilleniaceae,Angiosperms,Arnott's Acrotrema,Acrotrema arnottianum,,
86,Actaea cimicifuga,Plantae,Ranunculaceae,Angiosperms,,"Cimicifuga foetida, Actaea cimicifuga",,
87,Actaea racemosa,Plantae,Ranunculaceae,Angiosperms,,"Actaea racemosa, Cimicifuga racemosa",Homeopathy,
88,Actaea spicata,Plantae,Ranunculaceae,Angiosperms,Himalayan Baneberry,Actaea spicata,"Homeopathy, Unani",
89,Actinidia arguta,Plantae,Actinidiaceae,Angiosperms,,Actinidia arguta,,
90,Actinidia chinensis,Plantae,Actinidiaceae,Angiosperms,Kiwifruit,"Actinidia chinensis, Actindia chinensis",,
91,Actinidia eriantha,Plantae,Actinidiaceae,Angiosperms,,Actinidia eriantha,,
92,Actiniopteris australis,Plantae,Pteridaceae,Pteridophytes,,Actiniopteris australis,"Ayurveda, Siddha",
93,Actiniopteris dichotoma,Plantae,Pteridaceae,Pteridophytes,,Actiniopteris dichotoma,"Ayurveda, Siddha",
94,Actiniopteris radiata,Plantae,Pteridaceae,Pteridophytes,,"Actiniopteris radiata, Actinopteris radiata","Ayurveda, Siddha",
95,Actinodaphne gullavara,Plantae,Lauraceae,Angiosperms,,"Actinodaphne angustifolia, Actinodaphne gullavara",,Least Concern
96,Actinodaphne hookeri,Plantae,Lauraceae,Angiosperms,Pisa,Actinodaphne hookeri,Siddha,Vulnerable
97,Actinodaphne obovata,Plantae,Lauraceae,Angiosperms,,Actinodaphne obovata,,
98,Actinoscirpus grossus,Plantae,Cyperaceae,Angiosperms,,"Scirpus grossus, Schoenoplectus grossus, Scirpus kysoor, Actinoscirpus grossus","Ayurveda, Siddha",Least Concern
99,Adansonia digitata,Plantae,Malvaceae,Angiosperms,Baobab,Adansonia digitata,"Ayurveda, Siddha, Unani",
100,Adenanthera pavonina,Plantae,Leguminosae,Angiosperms,Red Bead Tree,Adenanthera pavonina,"Ayurveda, Siddha",Least Concern
101,Adenium obesum,Plantae,Apocynaceae,Angiosperms,Desert Rose,Adenium obesum,,Least Concern
102,Adenosma indianum,Plantae,Plantaginaceae,Angiosperms,,"Adenosma capitatum, Adenosma indianum, Adenosma indiana, Manulea indiana",Ayurveda,Least Concern
103,Adenostemma lavenia,Plantae,Compositae,Angiosperms,Sticky Daisy,"Adenostemma lavenia, Adenostesmma lavenid",,
104,Adiantum capillus-veneris,Plantae,Pteridaceae,Pteridophytes,,"Adiantum capillus, Adiantum capillus-veneris, Adiantum capillaris-veneris","Ayurveda, Siddha, Unani",Least Concern
105,Adiantum caudatum,Plantae,Pteridaceae,Pteridophytes,,Adiantum caudatum,"Ayurveda, Siddha",
106,Adiantum chilense,Plantae,Pteridaceae,Pteridophytes,,"Adiantum aethiopicum, Adiantum chilense",Ayurveda,
107,Adiantum incisum,Plantae,Pteridaceae,Pteridophytes,,Adiantum incisum,"Ayurveda, Siddha",
108,Adiantum lunulatum,Plantae,Pteridaceae,Pteridophytes,,"Adiantum philippense, Adiantum lunulatum, Aadiantum philippense","Ayurveda, Siddha, Unani",
109,Adiantum pedatum,Plantae,Pteridaceae,Pteridophytes,,Adiantum pedatum,,
110,Adiantum venustum,Plantae,Pteridaceae,Pteridophytes,,Adiantum venustum,Unani,
111,Adonis aestivalis,Plantae,Ranunculaceae,Angiosperms,Pheasant's Eye,Adonis aestivalis,,
112,Adonis annua,Plantae,Ranunculaceae,Angiosperms,,"Adonis autumnalis, Adonis annua",,
113,Adonis chrysocyathus,Plantae,Ranunculaceae,Angiosperms,Yellow Himalayan Oxeye Daisy,Adonis chrysocyathus,,
114,Aegialitis rotundifolia,Plantae,Plumbaginaceae,Angiosperms,,Aegialitis rotundifolia,,Near Threatened
115,Aegiceras corniculatum,Plantae,Primulaceae,Angiosperms,River Mangrove,"Aegiceras corniculata, Aegiceras majus, Aegiceras corniculatum, Aegiiceras corniculatum",,Least Concern
116,Aeginetia indica,Plantae,Orobanchaceae,Angiosperms,Forest Ghost Flower,Aeginetia indica,,
117,Aegle marmelos,Plantae,Rutaceae,Angiosperms,Bel,"Aegle marmelos, Aeele marmelos, Aegele marmelous, Aeogle marmelos","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Near Threatened
118,Aeollanthus pubescens,Plantae,Lamiaceae,Angiosperms,,Aeollanthus pubescens,,
119,Aerva javanica,Plantae,Amaranthaceae,Angiosperms,Desert Cotton,"Aerva persica, Aerva tomentosa, Aerva javanica, Aerva pseudotomentosa, Aerva psendotomentosa, Aerva pseudo-tomentosa","Ayurveda, Siddha",
120,Aerva lanata,Plantae,Amaranthaceae,Angiosperms,Mountain Knot Grass,"Aerva lanata, Achyranthes lanata","Ayurveda, Siddha",
121,Aeschynomene brasiliana,Plantae,Leguminosae,Angiosperms,,"Cassia biflora, Aeschynomene brasiliana",,Least Concern
122,Aeschynomene indica,Plantae,Leguminosae,Angiosperms,Indian Joint Vetch,Aeschynomene indica,Siddha,Least Concern
123,Aesculus assamica,Plantae,Sapindaceae,Angiosperms,East Himalayan Horse Chestnut,"Aesculus punduana, Aesculus assamica, Aesculus khasvana",,
124,Aesculus hippocastanum,Plantae,Sapindaceae,Angiosperms,,Aesculus hippocastanum,Unani,Vulnerable
125,Aesculus indica,Plantae,Sapindaceae,Angiosperms,Indian Horse Chestnut,Aesculus indica,,Least Concern
126,Aframomum melegueta,Plantae,Zingiberaceae,Angiosperms,,Aframomum melegueta,Unani,Data Deficient
127,Afrocarpus gracilior,Plantae,Podocarpaceae,Gymnosperms,Fern Pine,"Podocarpus gracilior, Afrocarpus gracilior",,Least Concern
128,Aganosma dichotoma,Plantae,Apocynaceae,Angiosperms,,Aganosma dichotoma,"Ayurveda, Sowa Rigpa",
129,Agapanthus africanus,Plantae,Amaryllidaceae,Angiosperms,Lily of the Nile,Agapanthus africanus,,
130,Agastache mexicana,Plantae,Lamiaceae,Angiosperms,,Agastache mexicana,,
131,Agastache rugosa,Plantae,Lamiaceae,Angiosperms,,Agastache rugosa,,
132,Agave americana,Plantae,Asparagaceae,Angiosperms,Century Plant,Agave americana,"Ayurveda, Homeopathy, Siddha, Unani",Least Concern
133,Agave cantala,Plantae,Asparagaceae,Angiosperms,,"Agave cantala, Agave canrala, Agave cantla, Agave centala","Ayurveda, Homeopathy, Siddha, Unani",
134,Agave sisalana,Plantae,Asparagaceae,Angiosperms,Sisal Agave,"Agave sisalana, Agva sisalana",,
135,Agave vera-cruz,Plantae,Asparagaceae,Angiosperms,,"Agave vera-cruz, Agave vera-curz",,
136,Agave vivipara,Plantae,Asparagaceae,Angiosperms,Caribbean Century Plant,"Agave angustifolia, Agave vivipara, Agave wightii","Ayurveda, Siddha",Least Concern
137,Ageratina adenophora,Plantae,Compositae,Angiosperms,Catweed,"Eupatorium glandulosum, Eupatorium adenophorum, Ageratina adenophora, Eupatorium aderophorum, Eupatorium glandudosum",,
138,Ageratina ligustrina,Plantae,Compositae,Angiosperms,,"Eupatorium erythropappum, Ageratina ligustrina",,
139,Ageratina riparia,Plantae,Compositae,Angiosperms,Mistflower,"Eupatorium riparium, Ageratina riparia, Ageratia riparia",,
140,Ageratum conyzoides,Plantae,Compositae,Angiosperms,Goat Weed,"Ageratum conyzoides, Ageratum conzyoides","Ayurveda, Siddha",
141,Ageratum houstonianum,Plantae,Compositae,Angiosperms,Floss Flower,Ageratum houstonianum,,
142,Aglaia elaeagnoidea,Plantae,Meliaceae,Angiosperms,Priyangu,"Aglaia roxburghiana, Aglaia elaeagnoidea, Aglalia elaeagnoidea, Aglaia elaegnoidea","Ayurveda, Siddha",Lower Risk/least concern
143,Aglaia hiernii,Plantae,Meliaceae,Angiosperms,,Aglaia hiernii,,Lower Risk/near threatened
144,Aglaia lawii,Plantae,Meliaceae,Angiosperms,Law's Aglaia,"Aglaia lawii, Aglaia andamanica, Amoora canarana, Amoora lawii",,Lower Risk/least concern
145,Aglaia odorata,Plantae,Meliaceae,Angiosperms,Chinese Perfume Tree,Aglaia odorata,,Lower Risk/near threatened
146,Aglaia odoratissima,Plantae,Meliaceae,Angiosperms,,"Aglaia odoratissima, Aglaia diepenhorstii, Aglaia diepenhorsti","Ayurveda, Siddha",Lower Risk/least concern
147,Aglaia spectabilis,Plantae,Meliaceae,Angiosperms,,"Aglaia spectabilis, Amoora wallichii",,Least Concern
148,Aglaonema commutatum,Plantae,Araceae,Angiosperms,,Aglaonema commutatum,,
149,Agrimonia eupatoria,Plantae,Rosaceae,Angiosperms,Asian Agrimony,"Agrimonia eupatoria, Agrimonia eupatorium",Unani,
150,Agrimonia pilosa,Plantae,Rosaceae,Angiosperms,Hairy Agrimony,Agrimonia pilosa,,
151,Agrostemma githago,Plantae,Caryophyllaceae,Angiosperms,Corn Cockle,"Lychnis githago, Agrostemma githago",Homeopathy,
152,Ailanthus altissima,Plantae,Simaroubaceae,Angiosperms,Tree of Heaven,"Ailanthus giraldii, Ailanthus glandulosa, Ailanthus altissima, Ailanthus giradii","Ayurveda, Homeopathy, Unani",
153,Ailanthus excelsa,Plantae,Simaroubaceae,Angiosperms,Indian Tree of Heaven,Ailanthus excelsa,"Ayurveda, Siddha, Unani",
154,Ailanthus integrifolia,Plantae,Simaroubaceae,Angiosperms,,"Ailanthus grandis, Ailanthus integrifolia, Ailanthus integrifoliq",Unani,Lower Risk/least concern
155,Ailanthus triphysa,Plantae,Simaroubaceae,Angiosperms,Malabar Tree of Heaven,"Ailanthus malabarica, Ailanthus triphysa","Ayurveda, Siddha, Unani",
156,Ajania fruticulosa,Plantae,Compositae,Angiosperms,Shrubby Ajania,"Tanacetum fruticulosum, Ajania fruticulosa",,
157,Ajuga integrifolia,Plantae,Lamiaceae,Angiosperms,Bracted Bugleweed,"Ajuga bracteosa, Ajuga integrifolia",Ayurveda,
158,Ajuga lupulina,Plantae,Lamiaceae,Angiosperms,,Ajuga lupulina,,
159,Ajuga macrosperma,Plantae,Lamiaceae,Angiosperms,Large-Seed Bugleweed,Ajuga macrosperma,,
160,Ajuga parviflora,Plantae,Lamiaceae,Angiosperms,Small-Flowered Bugleweed,Ajuga parviflora,,
161,Alangium chinense,Plantae,Cornaceae,Angiosperms,Chinese Alangium,"Alangium begoniaefolium, Marlea begoniaefolia, Alangium chinense",Ayurveda,
162,Alangium salviifolium,Plantae,Cornaceae,Angiosperms,Sage Leaved Alangium,"Alangium salvifolium, Alangium lamarckii, Alangium salviifolium, Alangium salviifoliuim, Alangium salviifolivm, Alangium salviifoliym","Ayurveda, Siddha, Sowa Rigpa, Unani",Least Concern
163,Albizia amara,Plantae,Leguminosae,Angiosperms,Krishna Siris,"Albizia amara, Albizzia amara","Ayurveda, Siddha",Least Concern
164,Albizia chinensis,Plantae,Leguminosae,Angiosperms,Chinese Albizia,"Albizia stipulata, Albizia chinensis, Albizia marginata, Albizzia chinensis","Ayurveda, Siddha",
165,Albizia julibrissin,Plantae,Leguminosae,Angiosperms,Silktree Mimosa,"Albizia julibrissin, Albizzia julibrissin",,
166,Albizia lebbeck,Plantae,Leguminosae,Angiosperms,Siris Tree,"Albizia lebbek, Albizia lebbeck, Albizzia lebbeck, Albiia lebbeck","Ayurveda, Siddha, Unani",Least Concern
167,Albizia lucidior,Plantae,Leguminosae,Angiosperms,Potka Siris,"Albizia lucida, Albizia lucidior",Ayurveda,
168,Albizia odoratissima,Plantae,Leguminosae,Angiosperms,Black Siris,"Albizia odoratissima, Albizzia odoratissima","Ayurveda, Siddha",Least Concern
169,Albizia procera,Plantae,Leguminosae,Angiosperms,White Siris,"Albizia procera, Albizzia procera","Ayurveda, Siddha",Least Concern
170,Albizia saman,Plantae,Leguminosae,Angiosperms,Rain Tree,"Samanea saman, Pithecellobium saman, Enterolobium saman, Albizia saman, Enterolobium samarn",,Least Concern
171,Alcea rosea,Plantae,Malvaceae,Angiosperms,Hollyhock,"Althaea rosea, Alcea rosea",,
172,Alectra parasitica,Plantae,Orobanchaceae,Angiosperms,,Alectra parasitica,Ayurveda,
173,Aleurites moluccanus,Plantae,Euphorbiaceae,Angiosperms,Candle Nut,"Aleurites moluccana, Aleurites moluccanus, Aleutrites moluccana",,Least Concern
174,Alhagi maurorum,Plantae,Leguminosae,Angiosperms,Camel Thorn,"Alhagi mourorum, Alhagi pseudalhagi, Alhagi maurorum, Alhagi camelorum, Althagi pseudalhagi, Alhagi pesudalghagi","Ayurveda, Siddha, Sowa Rigpa, Unani",
175,Alisma plantago,Plantae,Alismataceae,Angiosperms,,"Alisma plantago, Alisma pluntago",,
176,Alisma plantago-aquatica,Plantae,Alismataceae,Angiosperms,Common Water Plantain,"Alisma plantago-aquatica, Alisma plantaago-aquatica",,Least Concern
177,Alkanna tinctoria,Plantae,Boraginaceae,Angiosperms,,"Alkanna tinctoria, Anchusa tinctoria","Ayurveda, Siddha, Unani",
178,Allamanda blanchetii,Plantae,Apocynaceae,Angiosperms,Purple Allamanda,"Allemanda blanchetii, Allamanda blanchetii, Allemanda violacea, Allemanda blanchettii",,
179,Allamanda cathartica,Plantae,Apocynaceae,Angiosperms,Golden Trumpet Vine,"Allemanda cathartica, Allamanda cathartica, Allemanda grandiflora",,
180,Allamanda schottii,Plantae,Apocynaceae,Angiosperms,,"Allemanda schotii, Allamanda schottii, Allemanda neriifolia",,
181,Alliaria petiolata,Plantae,Brassicaceae,Angiosperms,Garlic Mustard,"Alliaria officinalis, Sisymbrium alliaria, Alliaria petiolata",,
182,Allium ampeloprasum,Plantae,Amaryllidaceae,Angiosperms,Elephant Garlic,"Allium porrum, Allium ampeloprasum, Allium porum",,Least Concern
183,Allium ascalonicum,Plantae,Amaryllidaceae,Angiosperms,,Allium ascalonicum,"Ayurveda, Unani",
184,Allium cepa,Plantae,Amaryllidaceae,Angiosperms,Onion,Allium cepa,"Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",
185,Allium chinense,Plantae,Amaryllidaceae,Angiosperms,Chinese Onion,"Allium bakeri, Allium chinense",,Least Concern
186,Allium sativum,Plantae,Amaryllidaceae,Angiosperms,Garlic,Allium sativum,"Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",
187,Allium schoenoprasum,Plantae,Amaryllidaceae,Angiosperms,Chives,"Allium schoenoprasum, Allium schnoloprasum",Unani,Least Concern
188,Allium tuberosum,Plantae,Amaryllidaceae,Angiosperms,Garlic Chives,"Allium clarkei, Allium tuberosum",,
189,Allium victorialis,Plantae,Amaryllidaceae,Angiosperms,Alpine Leek,Allium victorialis,,
190,Allium wallichii,Plantae,Amaryllidaceae,Angiosperms,Himalayan Onion,Allium wallichii,Ayurveda,
191,Allophylus cobbe,Plantae,Sapindaceae,Angiosperms,Indian Allophylus,"Allophylus cobbe, Pometia pinnata",,Least Concern
192,Allophylus serratus,Plantae,Sapindaceae,Angiosperms,Toothed-Leaf Allophylus,Allophylus serratus,"Ayurveda, Siddha",
193,Alnus nepalensis,Plantae,Betulaceae,Angiosperms,Nepal Alder,Alnus nepalensis,,Least Concern
194,Alnus nitida,Plantae,Betulaceae,Angiosperms,West Himalayan Alder,Alnus nitida,,Least Concern
195,Alocasia cucullata,Plantae,Araceae,Angiosperms,Chinese Taro,"Alocasia cucullata, Alocasia cuculata",,
196,Alocasia fornicata,Plantae,Araceae,Angiosperms,,"Colocasia fornicata, Alocasia fornicata",,Least Concern
197,Alocasia macrorrhizos,Plantae,Araceae,Angiosperms,Giant Taro,"Alocasia macrorhiza, Alocasia macrorrhiza, Alocasia indica, Alocasia macrorrhizos, Alocasia montana, Colocasia macrorhiza, Alocasta macrorhiza","Ayurveda, Siddha",
198,Aloe christianii,Plantae,Xanthorrhoeaceae,Angiosperms,,Aloe christianii,,
199,Aloe ferox,Plantae,Xanthorrhoeaceae,Angiosperms,,Aloe ferox,Ayurveda,
200,Aloe perryi,Plantae,Xanthorrhoeaceae,Angiosperms,,Aloe perryi,"Ayurveda, Unani",Near Threatened
201,Aloe succotrina,Plantae,Xanthorrhoeaceae,Angiosperms,,Aloe succotrina,"Homeopathy, Siddha, Unani",
