,Phytochemical,Kingdom,Family,Group,Common name,Synonymous names,System of medicine,IUCN Red List category
3645,Symplocos sumuntia,Plantae,Symplocaceae,Angiosperms,,"Symplocos caudata, Symplocos sumuntia",Ayurveda,
3646,Synedrella nodiflora,Plantae,Compositae,Angiosperms,Cinderella Weed,"Blainvillea latifolia, Synedrella nodiflora",,
3647,Syringa vulgaris,Plantae,Oleaceae,Angiosperms,,Syringa vulgaris,,Least Concern
3648,Syzygium alternifolium,Plantae,Myrtaceae,Angiosperms,,"Eugenia alternifolia, Syzygium alternifolium",,Endangered
3649,Syzygium aqueum,Plantae,Myrtaceae,Angiosperms,,"Eugenia aquea, Syzygium aqueum",,
3650,Syzygium aromaticum,Plantae,Myrtaceae,Angiosperms,,"Eugenia caryophyllata, Eugenia caryophyllus, Syzygium aromaticum, Syzgium aromaticum, Syzigium aromaticum","Ayurveda, Siddha, Sowa Rigpa, Unani",
3651,Syzygium claviflorum,Plantae,Myrtaceae,Angiosperms,,Syzygium claviflorum,,Least Concern
3652,Syzygium cumini,Plantae,Myrtaceae,Angiosperms,Jamun,"Eugenia jambolana, Syzygium cuminii, Syzygium cumini, Syzgyium cumini, Syzgyium jambolanum, Syygium cumini","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Least Concern
3653,Syzygium jambos,Plantae,Myrtaceae,Angiosperms,Rose Apple,"Eugenia jambos, Syzygium jambos","Ayurveda, Homeopathy, Siddha, Unani",Least Concern
3654,Syzygium malaccense,Plantae,Myrtaceae,Angiosperms,Malay Apple,Syzygium malaccense,,Least Concern
3655,Syzygium nervosum,Plantae,Myrtaceae,Angiosperms,,"Cleistocalyx operculatus, Syzygium operculatum, Syzygium nervosum",,Least Concern
3656,Syzygium praecox,Plantae,Myrtaceae,Angiosperms,,"Eugenia wallichii, Syzygium praecos, Syzygium praecox",,
3657,Syzygium samarangense,Plantae,Myrtaceae,Angiosperms,Wax Apple,"Eugenia javanica, Syzygium samarangense",,Least Concern
3658,Syzygium zeylanicum,Plantae,Myrtaceae,Angiosperms,Spicate Eugenia,Syzygium zeylanicum,Siddha,
3659,Tabebuia aurea,Plantae,Bignoniaceae,Angiosperms,Caribbean Trumpet Tree,"Tecoma argentea, Tabebuia argentea, Tabebuia aurea",,
3660,Tabebuia heterophylla,Plantae,Bignoniaceae,Angiosperms,Cuban Pink Trumpet Tree,"Tecoma pentaphylla, Tabebuia pentaphylla, Tabebuia heterophylla",,Least Concern
3661,Tabebuia rosea,Plantae,Bignoniaceae,Angiosperms,Rosy Trumpet Tree,Tabebuia rosea,,Least Concern
3662,Tabernaemontana alternifolia,Plantae,Apocynaceae,Angiosperms,Nag Kuda,"Ervatamia heyneana, Tabernaemontana heyneana, Tabernaemontana alternifolia, Tabernaemontana crispa",Ayurveda,Lower Risk/near threatened
3663,Tabernaemontana dichotoma,Plantae,Apocynaceae,Angiosperms,,"Ervatamia dichotoma, Tabernaemontana dichotoma, Rejoua dichotoma, Eravatamia dichotoma",Siddha,
3664,Tabernaemontana divaricata,Plantae,Apocynaceae,Angiosperms,Crape Jasmine Flore Pleno,"Ervataemia coronaria, Ervatamia coronaria, Tabernaemontana coronaria, Ervatamia divaricata, Tabernaemontana divaricata, Tabernacmontana divaricata, Eravetamia coronaria","Ayurveda, Siddha",Least Concern
3665,Tabernaemontana sphaerocarpa,Plantae,Apocynaceae,Angiosperms,,"Ervatamia sphaerocarpa, Tabernaemontana sphaerocarpa",,Least Concern
3666,Tacca integrifolia,Plantae,Dioscoreaceae,Angiosperms,White Bat Flower,"Tacca cristata, Tacca aspera, Tacca integrifolia",Ayurveda,
3667,Tacca leontopetaloides,Plantae,Dioscoreaceae,Angiosperms,Fiji Arrowroot,"Tacca pinnatifida, Tacca leontopetaloides","Ayurveda, Siddha",Least Concern
3668,Tadehagi triquetrum,Plantae,Leguminosae,Angiosperms,Winged-Stalk Desmodium,"Desmodium triquetrum, Tadehagi triquetrum",,
3669,Tagetes erecta,Plantae,Compositae,Angiosperms,Marigold,"Tagetes patula, Tagetes erecta, Tagetes ereta, Tagetes patulaetin","Ayurveda, Siddha, Unani",
3670,Tagetes lucida,Plantae,Compositae,Angiosperms,,Tagetes lucida,,
3671,Tagetes minuta,Plantae,Compositae,Angiosperms,Wild Marigold,"Tagetes glandulifera, Tagetes minuta",,
3672,Tagetes tenuifolia,Plantae,Compositae,Angiosperms,,Tagetes tenuifolia,,
3673,Tagetes terniflora,Plantae,Compositae,Angiosperms,,Tagetes terniflora,,
3674,Talinum fruticosum,Plantae,Talinaceae,Angiosperms,Ceylon Spinach,"Talinum triangulare, Talinum fruticosum",,
3675,Tamarindus indica,Plantae,Leguminosae,Angiosperms,Tamarind,"Tamarindus indica, Tamarindus idica","Ayurveda, Siddha, Sowa Rigpa, Unani",Least Concern
3676,Tamarix aphylla,Plantae,Tamaricaceae,Angiosperms,,"Tamarix articulata, Tamarix aphylla","Ayurveda, Siddha, Unani",
3677,Tamarix dioica,Plantae,Tamaricaceae,Angiosperms,Red Tamarisk,Tamarix dioica,"Ayurveda, Siddha, Unani",
3678,Tamarix gallica,Plantae,Tamaricaceae,Angiosperms,Indian Tamarisk,Tamarix gallica,"Ayurveda, Siddha, Unani",Least Concern
3679,Tamarix indica,Plantae,Tamaricaceae,Angiosperms,,"Tamarix troupii, Tamarix indica","Ayurveda, Siddha, Unani",
3680,Tamilnadia uliginosa,Plantae,Rubiaceae,Angiosperms,Divine Jasmine,"Xeromphis uliginosa, Randia uliginosa, Tamilnadia uliginosa, Ranida ulignosa","Ayurveda, Siddha",
3681,Tanacetum balsamitoides,Plantae,Compositae,Angiosperms,,"Chrysanthemum balsamita, Tanacetum balsamitoides",,
3682,Tanacetum cinerariifolium,Plantae,Compositae,Angiosperms,Dalmatian Chrysanthemum,"Chrysanthemum cinerariifolium, Chrysanthemum cinerariaefolium, Tanacetum cinerariifolium, Chrysanthemum cinerarifolium",,Least Concern
3683,Tanacetum dolichophyllum,Plantae,Compositae,Angiosperms,,Tanacetum dolichophyllum,,
3684,Tanacetum gracile,Plantae,Compositae,Angiosperms,,Tanacetum gracile,,
3685,Tanacetum nubigenum,Plantae,Compositae,Angiosperms,Alpine Tansy,"Tanacetum nubigenum, Tanaceturn nubigenum",,
3686,Tanacetum parthenium,Plantae,Compositae,Angiosperms,Feverfew,"Chrysanthemum parthenium, Tanacetum parthenium, Tenacetum parthenium, Pyrethrum parthenium",Unani,
3687,Tanacetum vulgare,Plantae,Compositae,Angiosperms,,"Chrysanthemum vulgare, Tanacetum vulgare",Homeopathy,
3688,Taraxacum campylodes,Plantae,Compositae,Angiosperms,Dandelion,"Taraxacum officinale, Taraxacum campylodes","Ayurveda, Unani",
3689,Tarchonanthus camphoratus,Plantae,Compositae,Angiosperms,,Tarchonanthus camphoratus,,Least Concern
3690,Tarenna asiatica,Plantae,Rubiaceae,Angiosperms,Asiatic Tarenna,"Webera corymbosa, Tarenna asiatica",Siddha,
3691,Taxodium distichum,Plantae,Cupressaceae,Gymnosperms,,"Taxodium distichum, Taxodiumn distichum",,Least Concern
3692,Taxodium huegelii,Plantae,Cupressaceae,Gymnosperms,Mexican Cypress,"Taxodium mucronatum, Taxodium huegelii",,Least Concern
3693,Taxus baccata,Plantae,Taxaceae,Gymnosperms,,"Taxus baccata, Taxus bacata","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Least Concern
3694,Taxus wallichiana,Plantae,Taxaceae,Gymnosperms,Himalayan Yew,"Taxus wallichiana, Taxus wallichii","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani",Endangered
3695,Tecoma capensis,Plantae,Bignoniaceae,Angiosperms,Cape Honeysuckle,"Tecomaria capensis, Tecoma capensis",Siddha,Least Concern
3696,Tecoma stans,Plantae,Bignoniaceae,Angiosperms,Yellow Bells,"Stenolobium stans, Tecoma stans",Siddha,Least Concern
3697,Tecomella undulata,Plantae,Bignoniaceae,Angiosperms,Roheda,"Tecoma undulata, Tecomella undulata","Ayurveda, Siddha, Sowa Rigpa",Endangered
3698,Tectona grandis,Plantae,Lamiaceae,Angiosperms,Teak,Tectona grandis,"Ayurveda, Siddha, Sowa Rigpa, Unani",
3699,Telosma cordata,Plantae,Apocynaceae,Angiosperms,Fragrant Telosma,"Telosma minor, Pergularia minor, Telosma cordata",,
3700,Telosma pallida,Plantae,Apocynaceae,Angiosperms,Telosma Vine,"Pergularia pallida, Telosma pallida",,
3701,Tephrosia apollinea,Plantae,Leguminosae,Angiosperms,,Tephrosia apollinea,,
3702,Tephrosia candida,Plantae,Leguminosae,Angiosperms,White Hoary Pea,Tephrosia candida,Ayurveda,
3703,Tephrosia falciformis,Plantae,Leguminosae,Angiosperms,,"Tephrosia falciformis, Tephrosia falsiformis",,
3704,Tephrosia maxima,Plantae,Leguminosae,Angiosperms,Large Tephrosia,Tephrosia maxima,,
3705,Tephrosia pumila,Plantae,Leguminosae,Angiosperms,Indigo Sauvage,"Tephrosia procumbens, Tephrosia pumila","Ayurveda, Siddha, Unani",Least Concern
